id;libelle;total_type_domaine;deleted;created_by;created_date;last_modified_by;last_modified_date
1051;Indicateurs de services publics;140;false;admin;2019-11-23 16:37:25.429;admin;2019-11-23 16:37:25.429
1052;Indicateurs de capacité institutionnelle;86;false;admin;2019-11-23 16:38:04.324;admin;2019-11-23 16:38:04.324
