Région;Province;Commune;premier cadre de concertation organisé;deuxième cadre de concertation organisé;troisième cadre de concertation organisé;quatrième cadre de concertation organisé;première session ordinaire organisée;deuxième session ordinaire organisée;troisième session ordinaire organisée;quatrième session ordinaire organisée;agent de matière transférée;secrétaire de la mairie;agent d’état civil;agent de service statistique;agent de service technique;comptable;régisseur de recettes;agent des affaires domaniales;Recettes fiscales collectées par habitant;Taux de participation aux sessions ordinaires du conseil municipal;Taux de recouvrement de taxes en fonction des prévisions;Taux d’exécution du plan de passation des marchés;Points-Nombre de cadres de concertations organisés par la Mairie;Points-Nombre de sessions ordinaires du Conseil municipal tenues;Points-Personnel de la municipalité remplissant l’organigramme type;Points-Recettes fiscales collectées par habitant;Points-Taux de participation aux sessions ordinaires du conseil municipal;Points-Taux de recouvrement de taxes en fonction des prévisions;Points-Taux d’exécution du plan de passation des marchés;Points-Conseil municipal;Nombre d'étoiles-Conseil municipal;Points-Gestion financière;Nombre d'étoiles-Gestion financière;Points-Mairie/Personne municipale;Nombre d'étoiles-Mairie/Personne municipale;Performance globale;Nombre d'étoiles-Performance globale
SAHEL;YAGHA;TITABÉ;non;non;non;non;oui;oui;non;non;non;non;oui;oui;non;oui;non;non;646,7000122;95;89,09999847;94;0;3;5;4;8,5;7;14;11,5;3;25;4;5;1;41,5;4
NORD;LOROUM;TITAO;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;oui;non;oui;4717,799805;91,69999695;95,19999695;76,09999847;0;3;6;16;7,5;9;10;10,5;3;35;5;6;2;51,5;5
CENTRE SUD;NAHOURI;TIÉBÉLÉ;non;non;non;non;oui;oui;oui;non;oui;oui;oui;oui;non;oui;non;oui;1012;98,09999847;88,59999847;67;0;4;8;5;9,399999619;7;8;13,39999962;5;20;2;8;5;41,40000153;4
CASCADES;COMOE;TIÉFORA;non;non;non;non;oui;oui;oui;non;non;oui;non;non;oui;oui;non;oui;1165,300049;90,80000305;127,8000031;85;0;4;7;5;7,199999809;10;12;11,19999981;3;27;4;7;4;45,20000076;4
CENTRE OUEST;SISSILI;TO;oui;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;771,2000122;96,69999695;41,20000076;100;2;4;7;4;9;0;18;15;5;22;3;7;4;44;4
PLATEAU CENTRAL;KOURWEOGO;TOEGHIN;oui;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;oui;505;79,19999695;42,79999924;75;2;5;5;3;4,900000095;0;10;11,89999962;4;13;1;5;1;29,89999962;1
BOUCLE DU MOUHOUN;NAYALA;TOMA;non;non;non;non;oui;oui;oui;non;oui;non;oui;oui;oui;oui;non;oui;3207,300049;90,80000305;95,80000305;87;0;4;8;13;7,199999809;9;12;11,19999981;3;34;5;8;5;53,20000076;5
SAHEL;SOUM;TONGOMAYEL;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;non;oui;non;oui;280,1000061;78,59999847;20,5;84;0;4;6;2;4,900000095;0;11;8,899999619;1;13;1;6;2;27,89999962;1
BOUCLE DU MOUHOUN;SOUROU;TOUGAN;non;non;non;non;oui;oui;oui;non;oui;oui;non;non;oui;oui;non;oui;1065,099976;78,90000153;70,69999695;87,30000305;0;4;8;5;4,900000095;4;12;8,899999619;1;21;3;8;5;37,90000153;3
NORD;ZONDOMA;TOUGO;oui;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;1808,099976;92;86,59999847;85;2;4;7;8;7,599999905;7;12;13,60000038;5;27;4;7;4;47,59999847;5
CENTRE NORD;NAMENTENGA;TOUGOURI;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;648,9000244;84,69999695;86,59999847;50;0;4;7;4;5,900000095;7;5;9,899999619;2;16;1;7;4;32,90000153;2
HAUTS BASSINS;HOUET;TOUSSIANA;non;non;non;non;oui;oui;oui;non;oui;non;oui;oui;oui;oui;non;oui;231,1000061;95,80000305;98,5;15,30000019;0;4;8;2;8,699999809;9;0;12,69999981;4;11;1;8;5;31,70000076;2
CENTRE SUD;BAZEGA;TOÉCÉ;non;non;non;non;oui;oui;oui;non;oui;oui;non;non;oui;oui;non;oui;4273,5;92;379;64;0;4;8;15;7,599999905;10;7;11,60000038;3;32;5;8;5;51,59999847;5
BOUCLE DU MOUHOUN;SOUROU;TOÉNI;non;non;non;non;oui;oui;oui;non;non;oui;oui;oui;oui;oui;non;oui;481,7000122;92,59999847;102,4000015;75,09999847;0;4;8;3;7,800000191;10;10;11,80000019;3;23;3;8;5;42,79999924;4
CASCADES;LERABA;WOLONKOTO;non;non;non;non;oui;non;non;non;non;non;oui;oui;oui;oui;non;non;502;86,80000305;84,5;39;0;1;6;3;6,400000095;6;3;7,400000095;1;12;1;6;2;25,39999962;1
BOUCLE DU MOUHOUN;NAYALA;YABA;oui;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;598,5999756;100;87,09999847;78;2;4;7;3;10;7;10;16;5;20;2;7;4;43;4
BOUCLE DU MOUHOUN;BALE;YAHO;oui;non;non;non;oui;oui;oui;non;non;non;non;non;oui;oui;non;oui;857,9000244;93,59999847;108,6999969;97,40000153;2;4;6;4;8,100000381;10;16;14,10000038;5;30;5;6;2;50,09999847;5
NORD;PASSORE;YAKO;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;non;non;oui;731,2000122;87,19999695;55,70000076;90;0;4;5;4;6,400000095;1;14;10,39999962;2;19;2;5;1;34,40000153;2
CENTRE NORD;NAMENTENGA;YALGO;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;375,3999939;0;77,19999695;92;0;0;3;2;0;5;14;0;1;21;3;3;1;24;1
EST;GOURMA;YAMBA;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;oui;585,0999756;100;15,89999962;95;0;4;5;3;10;0;16;14;5;19;2;5;1;38;3
CENTRE EST;KOULPELOGO;YARGATENGA;oui;oui;oui;non;oui;oui;non;non;oui;non;non;non;non;oui;oui;oui;2764,699951;96;43,09999847;99;6;3;7;11;8,800000191;0;16;17,79999924;5;27;4;7;4;51,79999924;5
CENTRE EST;KOURITENGA;YARGO;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;391;82,59999847;81,19999695;85;0;4;7;2;5,5;6;12;9,5;2;20;2;7;4;36,5;3
CENTRE EST;KOULPELOGO;YONDÉ;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;245,6000061;90,09999847;89,59999847;100;0;4;7;2;7;7;18;11;3;27;4;7;4;45;4
BOUCLE DU MOUHOUN;NAYALA;YÉ;non;non;non;non;oui;oui;non;non;non;non;non;non;non;oui;non;non;151,1999969;89,09999847;64,5;98;0;3;4;1;6,800000191;2;16;9,800000191;2;19;2;4;1;32,79999924;2
CENTRE EST;BOULGOU;ZABRÉ;oui;non;non;non;oui;oui;non;non;oui;oui;non;non;oui;oui;non;oui;16405,59961;98,40000153;1016,700012;74;2;3;8;25;9,5;10;9;14,5;5;44;5;8;5;66,5;5
PLATEAU CENTRAL;GANZOURGOU;ZAM;oui;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;non;591,2999878;95,40000153;106,1999969;73,30000305;2;5;4;3;8,600000381;10;9;15,60000038;5;22;3;4;1;41,59999847;4
SUD OUEST;IOBA;ZAMBO;oui;non;non;non;oui;oui;oui;non;oui;oui;non;non;oui;oui;non;oui;2628,600098;91,40000153;57,40000153;88,90000153;2;4;8;11;7,400000095;1;12;13,39999962;5;24;4;8;5;45,40000153;5
CENTRE OUEST;SANGUIE;ZAMO;non;non;non;non;oui;oui;oui;non;oui;oui;non;non;non;oui;non;oui;733,5;96,69999695;79,19999695;98;0;4;7;4;9;5;16;13;5;25;4;7;4;45;4
CENTRE OUEST;SANGUIE;ZAWARA;non;non;non;non;oui;oui;oui;non;non;oui;oui;oui;oui;oui;non;oui;4680,200195;99,30000305;101,0999985;80;0;4;8;16;9,800000191;10;11;13,80000019;5;37;5;8;5;58,79999924;5
CENTRE SUD;NAHOURI;ZECCO;non;non;non;non;oui;oui;oui;non;non;non;non;non;oui;oui;non;non;1257,199951;95,80000305;59;46;0;4;5;6;8,699999809;1;4;12,69999981;4;11;1;5;1;28,70000076;1
CENTRE NORD;SANMATENGA;ZIGA;non;non;non;non;oui;oui;oui;non;oui;non;oui;oui;oui;oui;non;oui;2611,800049;76,69999695;135,5;80;0;4;8;11;4,699999809;10;11;8,699999809;1;32;5;8;5;48,70000076;5
CENTRE NORD;BAM;ZIMTENGA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;1790,400024;58,70000076;121,8000031;82;0;4;7;7;2,900000095;10;11;6,900000095;1;28;5;7;4;41,90000153;4
PLATEAU CENTRAL;OUBRITENGA;ZINIARÉ;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;oui;non;oui;517;88,19999695;114,3000031;97;0;3;6;3;6,599999905;10;16;9,600000381;2;29;5;6;2;44,59999847;4
CENTRE SUD;NAHOURI;ZIOU;non;non;non;non;oui;oui;oui;oui;non;oui;non;non;oui;oui;non;oui;5280,899902;98,40000153;59,29999924;80;0;5;7;17;9,5;1;11;14,5;5;29;5;7;4;50,5;5
PLATEAU CENTRAL;OUBRITENGA;ZITENGA;oui;non;non;non;oui;oui;oui;oui;non;oui;non;non;non;oui;non;non;246,1999969;68,40000153;109,6999969;67;2;5;5;2;3,799999952;10;8;10,80000019;3;20;2;5;1;35,79999924;2
CENTRE EST;BOULGOU;ZOAGA;oui;non;non;non;oui;oui;non;non;oui;oui;oui;oui;oui;oui;non;oui;4844,799805;89,19999695;78,40000153;46,59999847;2;3;9;16;6,800000191;5;4;11,80000019;4;25;4;9;5;45,79999924;5
NORD;YATENGA;ZOGORÉ;oui;oui;non;non;oui;oui;oui;oui;non;non;non;non;oui;oui;non;oui;150,6000061;66,5;13,39999962;67;4;5;4;1;3,700000048;0;8;12,69999981;4;9;1;4;1;25,70000076;1
CENTRE EST;BOULGOU;ZONSÉ;non;non;non;non;oui;oui;non;non;oui;non;non;non;non;oui;non;oui;196,6999969;69,40000153;108,9000015;60;0;3;6;1;3,900000095;10;7;6,900000095;1;18;2;6;2;30,89999962;1
PLATEAU CENTRAL;GANZOURGOU;ZORGHO;non;non;non;non;oui;oui;oui;oui;oui;non;non;non;oui;oui;non;oui;185,6000061;82,40000153;60,90000153;92;0;5;7;1;5,5;2;14;10,5;3;17;2;7;4;34,5;2
PLATEAU CENTRAL;GANZOURGOU;ZOUNGOU;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;non;438,2999878;80,69999695;93,30000305;98;0;4;4;3;5,099999905;8;16;9,100000381;1;27;4;4;1;40,09999847;3
CENTRE NORD;NAMENTENGA;ZÉGUÉDÉGUIN;non;non;non;non;oui;oui;non;non;non;non;non;non;non;oui;non;oui;836,5999756;86,5;33;100;0;3;5;4;6,300000191;0;18;9,300000191;2;22;3;5;1;36,29999924;3
