Région;Province;Commune;premier cadre de concertation organisé;deuxième cadre de concertation organisé;troisième cadre de concertation organisé;quatrième cadre de concertation organisé;première session ordinaire organisée;deuxième session ordinaire organisée;troisième session ordinaire organisée;quatrième session ordinaire organisée;agent de matière transférée;secrétaire de la mairie;agent d’état civil;agent de service statistique;agent de service technique;comptable;régisseur de recettes;agent des affaires domaniales;Recettes fiscales collectées par habitant;Taux de participation aux sessions ordinaires du conseil municipal;Taux de recouvrement de taxes en fonction des prévisions;Taux d’exécution du plan de passation des marchés;Points-Nombre de cadres de concertations organisés par la Mairie;Points-Nombre de sessions ordinaires du Conseil municipal tenues;Points-Personnel de la municipalité remplissant l’organigramme type;Points-Recettes fiscales collectées par habitant;Points-Taux de participation aux sessions ordinaires du conseil municipal;Points-Taux de recouvrement de taxes en fonction des prévisions;Points-Taux d’exécution du plan de passation des marchés;Points-Conseil municipal;Nombre d'étoiles-Conseil municipal;Points-Gestion financière;Nombre d'étoiles-Gestion financière;Points-Mairie/Personne municipale;Nombre d'étoiles-Mairie/Personne municipale;Performance globale;Nombre d'étoiles-Performance globale
PLATEAU CENTRAL;OUBRITENGA;OURGOU-MANEGA;non;non;non;non;oui;oui;non;non;oui;non;non;non;non;oui;non;oui;225,1000061;91,90000153;78,90000153;99;0;3;6;2;7,599999905;5;16;10,60000038;3;23;3;6;2;39,59999847;3
SAHEL;OUDALAN;OURSI;non;non;non;non;oui;oui;oui;non;oui;oui;non;non;oui;oui;non;oui;14048,2002;91,19999695;84,5;58,5;0;4;8;25;7,300000191;6;6;11,30000019;3;37;5;8;5;56,29999924;5
BOUCLE DU MOUHOUN;BALE;OURY;non;non;non;non;oui;oui;oui;oui;non;non;oui;oui;non;oui;non;oui;745,0999756;90,09999847;89,90000153;97,19999695;0;5;6;4;7;7;16;12;4;27;4;6;2;45;4
CASCADES;LERABA;OUÉLÉNI;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;non;99,80000305;76,69999695;26,5;94,40000153;0;4;4;0;4,699999809;0;14;8,699999809;1;14;1;4;1;26,70000076;1
CENTRE;KADIOGO;PABRE;oui;non;non;non;oui;oui;non;non;non;non;non;non;non;oui;non;oui;11400,2002;91,90000153;151,8000031;90;2;3;5;25;7,599999905;10;14;12,60000038;4;49;5;5;1;66,59999847;5
HAUTS BASSINS;HOUET;PADÉMA;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;non;558,5;77,80000305;97,80000305;75;0;4;4;3;4,800000191;9;10;8,800000191;1;22;3;4;1;34,79999924;2
EST;KOMPIENGA;PAMA;non;non;non;non;oui;oui;non;non;oui;non;oui;oui;non;oui;non;non;67,59999847;95;9,899999619;90;0;3;6;0;8,5;0;14;11,5;3;14;1;6;2;31,5;1
EST;TAPOA;PARTIAGA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;243,3999939;89,5;105,9000015;56;0;4;7;2;6,900000095;10;6;10,89999962;3;18;2;7;4;35,90000153;2
CENTRE OUEST;BOULKIEMDE;PELLA;non;non;non;non;oui;oui;non;non;oui;non;oui;oui;oui;oui;non;oui;4051,899902;94,09999847;110,5;71,59999847;0;3;8;15;8,199999809;10;9;11,19999981;3;34;5;8;5;53,20000076;5
HAUTS BASSINS;HOUET;PENI;non;non;non;non;oui;oui;oui;non;non;oui;non;non;non;oui;non;oui;884,2999878;94,80000305;107,5;80;0;4;6;4;8,399999619;10;11;12,39999962;4;25;4;6;2;43,40000153;4
CENTRE NORD;SANMATENGA;PENSA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;non;oui;non;oui;391,5;98,80000305;95,80000305;40;0;4;6;2;9,600000381;9;4;13,60000038;5;15;1;6;2;34,59999847;2
CENTRE NORD;SANMATENGA;PIBAORÉ;non;non;non;non;oui;oui;oui;non;oui;oui;non;non;oui;oui;non;oui;317,3999939;87;57,70000076;60;0;4;8;2;6,400000095;1;7;10,39999962;2;10;1;8;5;28,39999962;1
EST;GNAGNA;PIELA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;non;oui;non;oui;1554,699951;80,59999847;89;76,80000305;0;4;6;7;5,099999905;7;10;9,100000381;1;24;4;6;2;39,09999847;3
NORD;PASSORE;PILIMPIKOU;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;oui;122,6999969;63,5;86,90000153;80;0;4;5;1;3,400000095;7;11;7,400000095;1;19;2;5;1;31,39999962;1
CENTRE NORD;SANMATENGA;PISSILA;non;non;non;non;non;non;non;non;non;non;non;non;non;oui;non;oui;93;0;25,70000076;88;0;0;5;0;0;0;12;0;1;12;1;5;1;17;1
CENTRE OUEST;BOULKIEMDE;POA;non;non;non;non;oui;oui;oui;non;oui;non;oui;oui;non;oui;non;non;298,2999878;84,19999695;89,40000153;60;0;4;6;2;5,800000191;7;7;9,800000191;2;16;1;6;2;31,79999924;2
SAHEL;SOUM;POBÉ-MENGAO;non;non;non;non;oui;oui;oui;non;non;oui;non;non;oui;oui;non;oui;1269,5;93,30000305;63,29999924;51;0;4;7;6;8;2;5;12;4;13;1;7;4;32;2
BOUCLE DU MOUHOUN;BALE;POMPOÏ;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;non;non;non;non;252,8000031;78,19999695;97,19999695;95;0;4;3;2;4,800000191;9;16;8,800000191;1;27;4;3;1;38,79999924;3
CENTRE OUEST;SANGUIE;POUNI;non;non;non;non;oui;oui;non;non;oui;oui;non;non;oui;oui;non;oui;576,9000244;90,80000305;6,199999809;90;0;3;8;3;7,300000191;0;14;10,30000019;2;17;2;8;5;35,29999924;2
BOUCLE DU MOUHOUN;BALE;POURA;non;non;non;non;oui;oui;oui;oui;non;non;oui;oui;non;oui;non;non;221,1999969;91,30000305;102,1999969;100;0;5;5;2;7,400000095;10;18;12,39999962;4;30;5;5;1;47,40000153;5
CENTRE EST;KOURITENGA;POUYTENGA;oui;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;oui;1094,400024;87,69999695;57,29999924;80;2;4;7;5;6,5;1;11;12,5;4;17;2;7;4;36,5;3
BOUCLE DU MOUHOUN;BALE;PÂ;non;non;non;non;oui;oui;oui;oui;non;non;oui;oui;oui;oui;non;oui;95,30000305;78,69999695;80;90;0;5;7;0;4,900000095;6;14;9,899999619;2;20;2;7;4;36,90000153;3
SUD OUEST;PONI;PÉRIGBAN;non;non;non;non;oui;oui;non;non;non;non;oui;oui;non;oui;non;non;1409,199951;90,40000153;95;96,09999847;0;3;5;7;7,099999905;8;16;10,10000038;2;31;5;5;1;46,09999847;5
CENTRE SUD;NAHOURI;PÔ;oui;oui;non;non;oui;oui;oui;oui;oui;non;oui;oui;non;oui;non;non;506,7999878;82,40000153;17,79999924;95;4;5;6;3;5,5;0;16;14,5;5;19;2;6;2;39,5;3
NORD;YATENGA;RAMBO;oui;non;non;non;oui;non;non;non;oui;non;non;non;non;oui;non;non;370,7000122;100;112,5;95;2;1;5;2;10;10;16;13;5;28;5;5;1;46;5
CENTRE OUEST;BOULKIEMDE;RAMONGO;oui;oui;oui;oui;oui;oui;oui;non;non;oui;non;non;oui;oui;non;non;434,5;98,69999695;93,90000153;77;10;4;6;3;9,600000381;8;10;23,60000038;5;21;3;6;2;50,59999847;5
CENTRE NORD;BAM;ROLLO;oui;non;non;non;oui;oui;oui;non;non;oui;oui;oui;oui;oui;non;oui;3004,5;97,19999695;100,0999985;64;2;4;8;13;9,199999809;10;7;15,19999981;5;30;5;8;5;53,20000076;5
CENTRE NORD;BAM;ROUKO;non;non;non;non;oui;oui;oui;oui;non;non;non;non;oui;oui;non;non;451,3999939;81,40000153;80;90;0;5;5;3;5,300000191;6;14;10,30000019;2;23;3;5;1;38,29999924;3
CENTRE OUEST;SANGUIE;RÉO;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;non;3255,199951;87,59999847;59;94;0;4;4;13;6,5;1;14;10,5;3;28;5;4;1;42,5;4
CENTRE;KADIOGO;SAABA;non;non;non;non;oui;oui;oui;non;non;non;non;non;non;oui;non;oui;7268,100098;85;147,5;98,30000305;0;4;5;22;6;10;16;10;2;48;5;5;1;63;5
CENTRE NORD;BAM;SABCÉ;oui;non;non;non;oui;oui;non;non;non;non;oui;oui;non;oui;non;non;385,2999878;92,90000153;80,69999695;100;2;3;5;2;7,900000095;6;18;12,89999962;5;26;4;5;1;43,90000153;4
CENTRE OUEST;BOULKIEMDE;SABOU;non;non;non;non;oui;oui;oui;non;oui;non;non;non;oui;oui;non;oui;729,2000122;57,70000076;119,3000031;83;0;4;7;4;2,799999952;10;11;6,800000191;1;25;4;7;4;38,79999924;3
BOUCLE DU MOUHOUN;MOUHOUN;SAFANÉ;non;non;non;non;oui;oui;non;non;non;non;oui;oui;non;oui;non;non;353,7999878;97,40000153;124,5;90;0;3;5;2;9,199999809;10;14;12,19999981;4;26;4;5;1;43,20000076;4
PLATEAU CENTRAL;GANZOURGOU;SALOGO;non;non;non;non;oui;oui;oui;oui;non;non;oui;oui;non;oui;non;non;228,8999939;79,19999695;69,09999847;97;0;5;5;2;4,900000095;3;16;9,899999619;2;21;3;5;1;35,90000153;2
NORD;PASSORE;SAMBA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;non;3162;89,5;107,5;88;0;4;6;13;6,900000095;10;12;10,89999962;3;35;5;6;2;51,90000153;5
BOUCLE DU MOUHOUN;BANWA;SAMI;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;oui;non;oui;375,2000122;89,09999847;73,5;94;0;3;6;2;6,800000191;4;14;9,800000191;2;20;2;6;2;35,79999924;2
HAUTS BASSINS;KENEDOUGOU;SAMOGOHIRI;non;non;non;non;oui;oui;non;non;non;non;oui;oui;oui;oui;non;non;656,9000244;65,90000153;68,09999847;75;0;3;6;4;3,599999905;3;10;6,599999905;1;17;2;6;2;29,60000038;1
HAUTS BASSINS;KENEDOUGOU;SAMOROGOUAN;non;non;non;non;oui;oui;non;non;non;non;non;non;non;oui;non;non;238,3000031;80,30000305;15,80000019;99;0;3;4;2;5,099999905;0;16;8,100000381;1;18;2;4;1;30,10000038;1
SAHEL;SENO;SAMPELGA;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;oui;178,8999939;0;11,60000038;30;0;5;5;1;0;0;2;5;1;3;1;5;1;13;1
BOUCLE DU MOUHOUN;BANWA;SANABA;oui;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;oui;538,0999756;79,30000305;34;90;2;5;5;3;4,900000095;0;14;11,89999962;4;17;2;5;1;33,90000153;2
CENTRE EST;KOULPELOGO;SANGHA;non;non;non;non;oui;oui;oui;oui;non;oui;non;non;oui;oui;non;oui;7544,100098;96,90000153;63,40000153;100;0;5;7;25;9,100000381;2;18;14,10000038;5;45;5;7;4;66,09999847;5
CENTRE SUD;BAZEGA;SAPONÉ;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;non;1528,199951;78,80000305;58,5;81;0;5;4;7;4,900000095;1;11;9,899999619;2;19;2;4;1;32,90000153;2
CENTRE OUEST;ZIRO;SAPOUY;oui;non;non;non;oui;oui;oui;oui;non;non;non;non;oui;oui;non;oui;1013,700012;97,19999695;63,09999847;93;2;5;6;5;9,199999809;2;14;16,20000076;5;21;3;6;2;43,20000076;4
HAUTS BASSINS;HOUET;SATIRI;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;non;oui;non;non;349,2000122;76,19999695;65,80000305;98;0;4;5;2;4,599999905;2;16;8,600000381;1;20;2;5;1;33,59999847;2
SAHEL;YAGHA;SEBBA;non;non;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;non;non;612,4000244;65,19999695;79,30000305;90;0;4;6;4;3,5;5;14;7,5;1;23;3;6;2;36,5;3
SAHEL;SENO;SEYTENGA;non;non;non;non;oui;oui;non;non;oui;oui;non;non;oui;oui;non;non;3178,699951;90,5;103,8000031;100;0;3;7;13;7,199999809;10;18;10,19999981;2;41;5;7;4;58,20000076;5
BOUCLE DU MOUHOUN;BALE;SIBY;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;non;415,1000061;95,80000305;61,59999847;51;0;5;4;3;8,800000191;2;5;13,80000019;5;10;1;4;1;27,79999924;1
