Rang;Région;Province;Commune;Score
151;BOUCLE DU MOUHOUN;SOUROU;LANKOUÉ;114.39999771118164
151;HAUTS BASSINS;KENEDOUGOU;SAMOGOHIRI;114.39999771118164
153;CENTRE SUD;ZOUNDWEOGO;GOMBOUSSOUGOU;114.30000305175781
154;CENTRE SUD;ZOUNDWEOGO;BERE;113.80000305175781
155;CENTRE OUEST;BOULKIEMDE;KINDI;113.70000076293945
156;NORD;YATENGA;BARGA;113.5999984741211
157;PLATEAU CENTRAL;GANZOURGOU;MOGTÉDO;113.20000076293945
158;SUD OUEST;BOUGOURIBA;DOLO;113.10000228881836
158;CENTRE SUD;NAHOURI;GUIARO;113.10000228881836
158;BOUCLE DU MOUHOUN;NAYALA;TOMA;113.10000228881836
161;CENTRE EST;BOULGOU;ZOAGA;113.0999984741211
162;CENTRE OUEST;SANGUIE;DIDYR;113.0
163;CENTRE OUEST;ZIRO;DALO;112.79999923706055
163;CENTRE OUEST;BOULKIEMDE;SABOU;112.79999923706055
165;SUD OUEST;PONI;BOUSSÉRA;112.69999694824219
166;CENTRE OUEST;BOULKIEMDE;RAMONGO;112.60000228881836
167;CENTRE SUD;ZOUNDWEOGO;GOGO;112.4000015258789
168;BOUCLE DU MOUHOUN;BALE;SIBY;112.39999771118164
169;CENTRE EST;KOULPELOGO;DOURTENGA;112.30000305175781
170;CENTRE EST;KOURITENGA;KANDO;112.0
170;SAHEL;OUDALAN;MARKOYE;112.0
172;CASCADES;LERABA;KANKALABA;111.70000076293945
173;CENTRE SUD;BAZEGA;TOÉCÉ;111.60000228881836
174;CENTRE NORD;NAMENTENGA;BOULSA;111.5999984741211
174;CASCADES;COMOE;TIÉFORA;111.5999984741211
176;NORD;PASSORE;BAGARÉ;111.5
177;CASCADES;COMOE;SIDERADOUGOU;111.20000457763672
178;NORD;YATENGA;TANGAYE;111.09999656677246
179;CENTRE OUEST;BOULKIEMDE;BINGO;111.00000381469727
180;CENTRE OUEST;ZIRO;SAPOUY;111.0
181;CENTRE NORD;SANMATENGA;BOUSSOUMA;110.69999694824219
182;CENTRE EST;BOULGOU;BOUSSOUMA;110.60000228881836
183;HAUTS BASSINS;KENEDOUGOU;DJIGOUÉRA;110.20000076293945
184;CENTRE EST;KOURITENGA;DIALGAYE;109.70000076293945
184;NORD;PASSORE;SAMBA;109.70000076293945
186;CENTRE NORD;SANMATENGA;NAMISSIGUIMA;109.50000381469727
187;CENTRE OUEST;BOULKIEMDE;THYOU;109.39999771118164
188;SUD OUEST;PONI;PÉRIGBAN;109.20000076293945
189;CENTRE OUEST;SANGUIE;RÉO;109.10000038146973
190;CENTRE EST;KOULPELOGO;LALGAYE;109.0
191;CENTRE OUEST;SANGUIE;DASSA;108.9000015258789
192;CENTRE OUEST;SANGUIE;ZAMO;108.79999923706055
193;CASCADES;COMOE;MANGODARA;108.5
194;CENTRE OUEST;ZIRO;BAKATA;108.4000015258789
194;SAHEL;SOUM;POBÉ-MENGAO;108.4000015258789
196;CENTRE EST;KOURITENGA;ANDEMTENGA;108.0999984741211
196;HAUTS BASSINS;HOUET;SATIRI;108.0999984741211
198;BOUCLE DU MOUHOUN;SOUROU;TOUGAN;107.80000305175781
199;SUD OUEST;PONI;BOUROUM-BOUROUM;107.70000076293945
200;SAHEL;OUDALAN;GOROM-GOROM;107.4000015258789
201;HAUTS BASSINS;KENEDOUGOU;SINDO;107.20000076293945
201;CENTRE OUEST;SANGUIE;ZAWARA;107.20000076293945
203;CENTRE;KADIOGO;KOMKI-IPALA;106.9000015258789
204;BOUCLE DU MOUHOUN;NAYALA;YÉ;106.70000457763672
205;CENTRE EST;KOURITENGA;TENSOBENTENGA;106.70000267028809
206;CENTRE NORD;SANMATENGA;BARSALOGHO;106.70000076293945
206;CENTRE SUD;NAHOURI;ZECCO;106.70000076293945
208;BOUCLE DU MOUHOUN;BALE;BAGASSI;106.5999984741211
209;PLATEAU CENTRAL;OUBRITENGA;NAGREONGO;106.4000015258789
210;SAHEL;SENO;GORGADJI;106.0
211;HAUTS BASSINS;KENEDOUGOU;BANZON;105.9000015258789
212;EST;GOURMA;FADA N’GOURMA;105.69999694824219
213;SAHEL;SOUM;DJIBO;105.60000228881836
214;SUD OUEST;IOBA;NIÉGO;105.5
215;SAHEL;SENO;SEYTENGA;105.30000305175781
216;CENTRE OUEST;SANGUIE;POUNI;105.00000381469727
217;CENTRE NORD;NAMENTENGA;BOUROUM;104.79999923706055
218;CENTRE EST;BOULGOU;BISSIGA;104.5999984741211
