Région;Province;Commune;Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Retard moyen d’approvisionnement en fournitures scolaires;Taux d'accouchements assistés;Taux de CSPS ayant reçu un stock de gaz suffisant;Taux de la population ayant accès à une source d’eau potable fonctionnelle;Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Taux d’actes de naissance délivrés;Taux d’écoles avec un forage fonctionnel;Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Points-Retard moyen d’approvisionnement en fournitures scolaires;Points-Taux d'accouchements assistés;Points-Taux de CSPS ayant reçu un stock de gaz suffisant;Points-Taux de la population ayant accès à une source d’eau potable fonctionnelle;Points-Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Points-Taux d’actes de naissance délivrés;Points-Taux d’écoles avec un forage fonctionnel;Points-Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Acte de naissance;Nombre d'étoiles-Acte de naissance;Points-Eau et assainissement;Nombre d'étoiles-Eau et assainissement;Points-Santé;Nombre d'étoiles-Santé;Points-écoles primaires;Nombre d'étoiles-écoles primaires;Performance globale;Nombre d'étoiles-Performance globale
CENTRE SUD;ZOUNDWEOGO;GOMBOUSSOUGOU;15;194;92;17;79;110;42;75;55;12.0;0.699999988079071;11.0;1.7000000476837158;12.0;;3.0;13.0;5.0;3.0;4.0;12.0;3.0;22.700000762939453;4.0;30.700000762939453;3.0;68.4000015258789;3.0
SAHEL;SENO;GORGADJI;-6;65;77;0;35;96;24;100;70;7.0;1.2000000476837158;8.0;0.0;4.0;;1.0;25.0;8.0;1.0;2.0;4.0;1.0;17.0;2.0;41.20000076293945;5.0;63.20000076293945;3.0
SAHEL;OUDALAN;GOROM-GOROM;1;226;62;67;47;105;5;80;36;8.0;0.0;4.0;6.699999809265137;6.0;;0.0;14.0;2.0;0.0;1.0;6.0;1.0;20.700000762939453;3.0;24.0;1.0;50.70000076293945;1.0
CENTRE EST;KOURITENGA;GOUNGHIN;0;21;60;0;90;74;30;96;62;8.0;2.200000047683716;4.0;0.0;14.0;;2.0;20.0;6.0;2.0;3.0;14.0;4.0;7.0;1.0;36.20000076293945;4.0;59.20000076293945;2.0
CENTRE SUD;NAHOURI;GUIARO;7;85;92;25;70;94;37;100;50;9.0;1.100000023841858;11.0;2.5;11.0;;2.0;25.0;4.0;2.0;3.0;11.0;3.0;22.5;4.0;39.099998474121094;4.0;74.5999984741211;4.0
CENTRE SUD;ZOUNDWEOGO;GUIBA;11;213;60;50;92;77;15;24;29;10.0;0.0;2.0;5.0;16.0;;0.0;2.0;0.0;0.0;1.0;16.0;5.0;12.0;1.0;12.0;1.0;40.0;1.0
CENTRE NORD;BAM;GUIBARÉ;11;5;100;50;76;107;129;83;58;10.0;4.400000095367432;12.0;5.0;12.0;;12.0;14.0;5.0;12.0;5.0;12.0;3.0;27.0;5.0;33.400001525878906;3.0;84.4000015258789;5.0
CENTRE SUD;BAZEGA;IPELCÉ;-9;11;57;0;96;98;20;100;70;7.0;3.0;2.0;0.0;18.0;;0.0;25.0;8.0;0.0;1.0;18.0;5.0;11.0;1.0;43.0;5.0;72.0;4.0
CENTRE EST;KOURITENGA;KANDO;-18;35;78;50;80;105;27;84;68;5.0;1.7000000476837158;8.0;5.0;13.0;;1.0;14.0;7.0;1.0;2.0;13.0;4.0;23.0;4.0;27.700000762939453;2.0;64.69999694824219;3.0
CASCADES;LERABA;KANKALABA;7;3;50;100;67;98;29;90;30;9.0;6.0;1.0;10.0;10.0;;1.0;16.0;1.0;1.0;2.0;10.0;2.0;20.0;3.0;32.0;3.0;63.0;3.0
CENTRE NORD;SANMATENGA;KAYA;-4;52;78;0;81;96;25;80;40;8.0;1.399999976158142;8.0;0.0;13.0;;1.0;14.0;3.0;1.0;2.0;13.0;4.0;17.0;2.0;26.399999618530273;1.0;57.400001525878906;2.0
CENTRE SUD;BAZEGA;KAYAO;-6;12;59;38;82;94;11;60;60;7.0;2.9000000953674316;2.0;3.799999952316284;13.0;;0.0;10.0;6.0;0.0;1.0;13.0;4.0;14.800000190734863;2.0;25.899999618530273;1.0;53.70000076293945;1.0
SAHEL;SOUM;KELBO;12;21;78;100;68;142;32;90;20;10.0;2.200000047683716;8.0;10.0;10.0;;2.0;16.0;0.0;2.0;3.0;10.0;2.0;32.0;5.0;28.200000762939453;2.0;72.19999694824219;4.0
PLATEAU CENTRAL;GANZOURGOU;KOGO;23;56;63;100;83;93;19;80;70;14.0;1.2999999523162842;4.0;10.0;13.0;;0.0;14.0;8.0;0.0;1.0;13.0;4.0;23.0;4.0;37.29999923706055;4.0;73.30000305175781;4.0
CENTRE SUD;BAZEGA;KOMBISSIRI;-9;48;82;22;86;97;160;84;32;7.0;1.399999976158142;9.0;2.200000047683716;14.0;;12.0;14.0;1.0;12.0;5.0;14.0;4.0;20.200000762939453;3.0;23.399999618530273;1.0;69.69999694824219;4.0
CENTRE EST;BOULGOU;KOMTOEGA;4;75;72;0;96;90;57;100;44;8.0;1.2000000476837158;7.0;0.0;18.0;;4.0;25.0;3.0;4.0;4.0;18.0;5.0;16.0;2.0;37.20000076293945;4.0;75.19999694824219;5.0
CENTRE NORD;BAM;KONGOUSSI;-8;7;57;40;83;76;52;95;70;7.0;3.700000047683716;2.0;4.0;13.0;;4.0;20.0;8.0;4.0;4.0;13.0;4.0;11.0;1.0;38.70000076293945;4.0;66.69999694824219;3.0
CENTRE NORD;SANMATENGA;KORSIMORO;-3;27;83;13;73;93;57;100;25;8.0;1.899999976158142;9.0;1.2999999523162842;11.0;;4.0;25.0;0.0;4.0;4.0;11.0;3.0;19.299999237060547;3.0;34.900001525878906;4.0;69.19999694824219;3.0
CENTRE EST;KOURITENGA;KOUPELA;7;24;139;50;86;107;28;73;53;9.0;2.0;15.0;5.0;14.0;;1.0;12.0;4.0;1.0;2.0;14.0;4.0;30.0;5.0;27.0;2.0;72.0;4.0
SAHEL;SOUM;KOUTOUGOU;14;46;49;100;37;154;9;80;50;10.0;1.5;1.0;10.0;4.0;;0.0;14.0;4.0;0.0;1.0;4.0;1.0;26.0;5.0;29.5;2.0;59.5;2.0
CENTRE EST;KOULPELOGO;LALGAYE;7;9;86;0;74;107;21;90;40;9.0;3.4000000953674316;10.0;0.0;11.0;;1.0;16.0;3.0;1.0;2.0;11.0;3.0;20.0;3.0;31.399999618530273;3.0;63.400001525878906;3.0
PLATEAU CENTRAL;KOURWEOGO;LAYE;-14;71;44;0;98;88;32;80;90;6.0;1.2000000476837158;1.0;0.0;18.0;;2.0;14.0;12.0;2.0;3.0;18.0;5.0;9.0;1.0;33.20000076293945;3.0;62.20000076293945;2.0
CASCADES;LERABA;LOUMANA;12;38;81;67;63;110;53;87;40;10.0;1.600000023841858;9.0;6.699999809265137;9.0;;4.0;15.0;3.0;4.0;4.0;9.0;2.0;25.700000762939453;4.0;29.600000381469727;2.0;68.30000305175781;3.0
PLATEAU CENTRAL;OUBRITENGA;LOUMBILA;3;364;75;50;80;74;20;87;67;8.0;0.0;8.0;5.0;12.0;;0.0;15.0;7.0;0.0;1.0;12.0;3.0;16.0;2.0;30.0;2.0;58.0;2.0
CENTRE SUD;ZOUNDWEOGO;MANGA;12;364;35;29;95;71;48;87;27;10.0;0.0;0.0;2.9000000953674316;18.0;;3.0;15.0;0.0;3.0;4.0;18.0;5.0;5.900000095367432;1.0;25.0;1.0;51.900001525878906;1.0
CASCADES;COMOE;MANGODARA;-13;15;95;0;49;129;22;88;75;6.0;2.5999999046325684;12.0;0.0;6.0;;1.0;15.0;9.0;1.0;2.0;6.0;1.0;24.0;4.0;32.599998474121094;3.0;63.599998474121094;3.0
SAHEL;YAGHA;MANSILA;15;364;86;33;74;118;2;100;45;10.0;0.0;10.0;3.299999952316284;11.0;;0.0;25.0;3.0;0.0;1.0;11.0;3.0;23.299999237060547;4.0;38.0;4.0;72.30000305175781;4.0
CENTRE NORD;SANMATENGA;MANÉ;-31;30;61;100;75;90;42;100;33;2.0;1.7999999523162842;4.0;10.0;11.0;;3.0;25.0;1.0;3.0;4.0;11.0;3.0;23.0;4.0;29.799999237060547;2.0;66.80000305175781;3.0
SAHEL;OUDALAN;MARKOYE;0;165;47;0;49;97;27;100;36;8.0;0.800000011920929;1.0;0.0;6.0;;1.0;25.0;2.0;1.0;2.0;6.0;1.0;10.0;1.0;35.79999923706055;4.0;52.79999923706055;1.0
PLATEAU CENTRAL;GANZOURGOU;MEGUET;-3;127;70;100;87;107;19;93;73;8.0;0.8999999761581421;7.0;10.0;14.0;;0.0;16.0;8.0;0.0;1.0;14.0;4.0;27.0;5.0;32.900001525878906;3.0;73.9000015258789;4.0
PLATEAU CENTRAL;GANZOURGOU;MOGTÉDO;7;33;83;0;58;111;21;100;50;9.0;1.7000000476837158;9.0;0.0;8.0;;1.0;25.0;4.0;1.0;2.0;8.0;1.0;19.0;3.0;39.70000076293945;5.0;67.69999694824219;3.0
CASCADES;COMOE;MOUSSODOUGOU;21;12;95;100;58;110;30;67;83;14.0;2.9000000953674316;11.0;10.0;8.0;;2.0;11.0;10.0;2.0;3.0;8.0;1.0;31.0;5.0;37.900001525878906;4.0;78.9000015258789;5.0
CENTRE NORD;NAMENTENGA;NAGBINGOU;0;67;109;0;65;123;17;80;100;8.0;1.2000000476837158;13.0;0.0;10.0;;0.0;14.0;15.0;0.0;1.0;10.0;2.0;25.0;4.0;38.20000076293945;4.0;73.19999694824219;4.0
PLATEAU CENTRAL;OUBRITENGA;NAGREONGO;-5;60;79;100;86;103;27;100;80;8.0;1.2999999523162842;8.0;10.0;14.0;;1.0;25.0;10.0;1.0;2.0;14.0;4.0;28.0;5.0;44.29999923706055;5.0;87.30000305175781;5.0
CENTRE NORD;SANMATENGA;NAMISSIGUIMA;12;98;92;100;69;95;142;40;80;10.0;1.0;11.0;10.0;10.0;;12.0;6.0;10.0;12.0;5.0;10.0;2.0;30.0;5.0;27.0;2.0;79.0;5.0
CENTRE NORD;BAM;NASSERE;10;36;73;0;77;236;90;90;60;9.0;1.7000000476837158;7.0;0.0;12.0;;9.0;16.0;6.0;9.0;5.0;12.0;3.0;22.0;3.0;32.70000076293945;3.0;75.69999694824219;5.0
SAHEL;SOUM;NASSOUMBOU;23;14;62;100;57;115;19;90;70;14.0;2.700000047683716;4.0;10.0;8.0;;0.0;16.0;8.0;0.0;1.0;8.0;1.0;24.0;4.0;40.70000076293945;5.0;72.69999694824219;4.0
CASCADES;COMOE;NIANGOLOKO;-11;31;99;90;54;134;29;80;40;6.0;1.7999999523162842;12.0;9.0;7.0;;1.0;14.0;3.0;1.0;2.0;7.0;1.0;33.0;5.0;24.799999237060547;1.0;65.80000305175781;3.0
CASCADES;LERABA;NIANKORODOUGOU;22;61;82;0;55;112;21;100;53;14.0;1.2999999523162842;9.0;0.0;8.0;;1.0;25.0;4.0;1.0;2.0;8.0;1.0;19.0;3.0;44.29999923706055;5.0;72.30000305175781;4.0
CENTRE EST;BOULGOU;NIAOGHO;6;113;63;0;90;78;45;100;60;9.0;0.8999999761581421;4.0;0.0;14.0;;3.0;25.0;6.0;3.0;4.0;14.0;4.0;9.0;1.0;40.900001525878906;5.0;66.9000015258789;3.0
PLATEAU CENTRAL;KOURWEOGO;NIOU;7;96;41;0;90;100;18;100;67;9.0;1.0;1.0;0.0;14.0;;0.0;25.0;7.0;0.0;1.0;14.0;4.0;10.0;1.0;42.0;5.0;66.0;3.0
CENTRE SUD;ZOUNDWEOGO;NOBERE;8;364;64;25;88;78;26;87;47;9.0;0.0;4.0;2.5;14.0;;1.0;15.0;3.0;1.0;2.0;14.0;4.0;11.5;1.0;27.0;1.0;53.5;1.0
CENTRE EST;KOULPELOGO;OUARGAYE;3;6;87;50;27;86;18;90;55;8.0;4.0;10.0;5.0;2.0;;0.0;16.0;5.0;0.0;1.0;2.0;1.0;23.0;4.0;33.0;3.0;58.0;2.0
CASCADES;COMOE;OUO;-11;32;43;0;61;124;13;100;47;6.0;1.7999999523162842;1.0;0.0;9.0;;0.0;25.0;3.0;0.0;1.0;9.0;2.0;13.0;1.0;35.79999923706055;4.0;57.79999923706055;2.0
PLATEAU CENTRAL;OUBRITENGA;OURGOU-MANEGA;2;6;64;100;90;89;15;100;40;8.0;4.0;4.0;10.0;16.0;;0.0;25.0;3.0;0.0;1.0;16.0;5.0;22.0;3.0;40.0;5.0;78.0;5.0
SAHEL;OUDALAN;OURSI;0;94;30;0;41;101;12;100;10;0.0;1.0;0.0;0.0;5.0;;0.0;25.0;0.0;0.0;1.0;5.0;1.0;10.0;1.0;26.0;1.0;41.0;1.0
CASCADES;LERABA;OUÉLÉNI;14;16;79;50;70;99;27;100;50;10.0;2.5;8.0;5.0;10.0;;1.0;25.0;4.0;1.0;2.0;10.0;2.0;22.0;3.0;41.5;5.0;74.5;4.0
CENTRE NORD;SANMATENGA;PENSA;-20;92;88;0;67;131;23;100;40;5.0;1.0;10.0;0.0;10.0;;1.0;25.0;3.0;1.0;2.0;10.0;2.0;22.0;3.0;34.0;3.0;67.0;3.0
