Région;Province;Commune;Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Retard moyen d’approvisionnement en fournitures scolaires;Taux d'accouchements assistés;Taux de CSPS ayant reçu un stock de gaz suffisant;Taux de la population ayant accès à une source d’eau potable fonctionnelle;Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Taux d’actes de naissance délivrés;Taux d’écoles avec un forage fonctionnel;Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Points-Retard moyen d’approvisionnement en fournitures scolaires;Points-Taux d'accouchements assistés;Points-Taux de CSPS ayant reçu un stock de gaz suffisant;Points-Taux de la population ayant accès à une source d’eau potable fonctionnelle;Points-Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Points-Taux d’actes de naissance délivrés;Points-Taux d’écoles avec un forage fonctionnel;Points-Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Acte de naissance;Nombre d'étoiles-Acte de naissance;Points-Eau et assainissement;Nombre d'étoiles-Eau et assainissement;Points-Santé;Nombre d'étoiles-Santé;Points-écoles primaires;Nombre d'étoiles-écoles primaires;Performance globale;Nombre d'étoiles-Performance globale
SAHEL;YAGHA;TANKOUGOUNADIE;-5;41;66;14;77;91;59;96;84;8.0;1.600000023841858;5.0;1.399999976158142;12.0;;4.0;20.0;10.0;4.0;4.0;12.0;3.0;15.399999618530273;2.0;39.599998474121094;5.0;71.0;4.0
CENTRE EST;BOULGOU;TENKODOGO;3;66;79;50;94;94;34;90;80;8.0;1.2000000476837158;8.0;5.0;16.0;;2.0;16.0;10.0;2.0;3.0;16.0;5.0;22.0;3.0;35.20000076293945;4.0;75.19999694824219;5.0
CENTRE EST;KOURITENGA;TENSOBENTENGA;5;86;51;13;83;64;9;94;56;8.0;1.100000023841858;1.0;1.2999999523162842;13.0;;0.0;16.0;5.0;0.0;1.0;13.0;4.0;3.299999952316284;1.0;30.100000381469727;3.0;46.29999923706055;1.0
SAHEL;OUDALAN;TIN-AKOF;-23;65;41;50;24;118;18;80;30;4.0;1.2000000476837158;1.0;5.0;1.0;;0.0;14.0;1.0;0.0;1.0;1.0;1.0;16.0;2.0;20.200000762939453;1.0;37.20000076293945;1.0
SAHEL;YAGHA;TITABÉ;2;62;92;100;65;109;43;100;20;8.0;1.2999999523162842;11.0;10.0;10.0;;3.0;25.0;0.0;3.0;4.0;10.0;2.0;31.0;5.0;34.29999923706055;3.0;78.30000305175781;5.0
CENTRE SUD;NAHOURI;TIÉBÉLÉ;19;33;75;50;44;89;40;79;3;12.0;1.7000000476837158;7.0;5.0;5.0;;2.0;13.0;0.0;2.0;3.0;5.0;1.0;20.0;3.0;26.700000762939453;1.0;53.70000076293945;1.0
CASCADES;COMOE;TIÉFORA;-5;19;75;100;90;98;46;95;70;7.0;2.299999952316284;8.0;10.0;16.0;;3.0;20.0;8.0;3.0;4.0;16.0;5.0;27.0;5.0;37.29999923706055;4.0;83.30000305175781;5.0
PLATEAU CENTRAL;KOURWEOGO;TOEGHIN;12;46;45;0;84;97;14;100;80;10.0;1.5;1.0;0.0;13.0;;0.0;25.0;10.0;0.0;1.0;13.0;4.0;10.0;1.0;46.5;5.0;69.5;3.0
SAHEL;SOUM;TONGOMAYEL;7;19;67;100;40;103;32;94;53;9.0;2.299999952316284;5.0;10.0;4.0;;2.0;16.0;4.0;2.0;3.0;4.0;1.0;25.0;4.0;31.299999237060547;3.0;62.29999923706055;2.0
CENTRE NORD;NAMENTENGA;TOUGOURI;19;41;89;0;66;115;9;95;60;12.0;1.600000023841858;10.0;0.0;10.0;;0.0;20.0;6.0;0.0;1.0;10.0;2.0;20.0;3.0;39.599998474121094;5.0;69.5999984741211;4.0
CENTRE SUD;BAZEGA;TOÉCÉ;4;92;75;30;93;84;53;35;40;8.0;1.0;8.0;3.0;16.0;;4.0;5.0;3.0;4.0;4.0;16.0;5.0;18.0;2.0;17.0;1.0;55.0;1.0
CASCADES;LERABA;WOLONKOTO;19;0;63;100;57;80;20;33;33;12.0;10.0;4.0;10.0;8.0;;0.0;4.0;1.0;0.0;1.0;8.0;1.0;19.0;3.0;27.0;1.0;54.0;1.0
CENTRE NORD;NAMENTENGA;YALGO;-10;92;120;0;56;136;33;93;53;6.0;1.0;14.0;0.0;8.0;;2.0;16.0;4.0;2.0;3.0;8.0;1.0;26.0;5.0;27.0;2.0;63.0;3.0
CENTRE EST;KOULPELOGO;YARGATENGA;2;45;111;0;49;134;54;87;33;8.0;1.5;14.0;0.0;6.0;;4.0;15.0;1.0;4.0;4.0;6.0;1.0;26.0;5.0;25.5;1.0;61.5;2.0
CENTRE EST;KOURITENGA;YARGO;-15;36;67;100;96;82;46;100;44;6.0;1.7000000476837158;5.0;10.0;18.0;;3.0;25.0;3.0;3.0;4.0;18.0;5.0;22.0;3.0;35.70000076293945;4.0;78.69999694824219;5.0
CENTRE EST;KOULPELOGO;YONDÉ;-4;61;74;75;69;93;0;100;67;8.0;1.2999999523162842;7.0;7.5;10.0;;0.0;25.0;7.0;0.0;1.0;10.0;2.0;23.5;4.0;41.29999923706055;5.0;74.80000305175781;5.0
CENTRE EST;BOULGOU;ZABRÉ;2;82;238;67;73;74;36;95;60;8.0;1.100000023841858;15.0;6.699999809265137;11.0;;2.0;20.0;6.0;2.0;3.0;11.0;3.0;24.700000762939453;4.0;35.099998474121094;4.0;72.80000305175781;4.0
PLATEAU CENTRAL;GANZOURGOU;ZAM;18;9;87;78;78;110;23;90;84;12.0;3.4000000953674316;10.0;7.800000190734863;12.0;;1.0;15.0;10.0;1.0;2.0;12.0;3.0;27.799999237060547;5.0;40.400001525878906;5.0;81.19999694824219;5.0
CENTRE SUD;NAHOURI;ZECCO;-13;37;50;0;94;76;33;80;70;6.0;1.600000023841858;1.0;0.0;16.0;;2.0;14.0;8.0;2.0;3.0;16.0;5.0;6.0;1.0;29.600000381469727;2.0;53.599998474121094;1.0
CENTRE NORD;SANMATENGA;ZIGA;10;171;83;0;71;92;94;86;86;9.0;0.800000011920929;9.0;0.0;11.0;;9.0;15.0;11.0;9.0;5.0;11.0;3.0;18.0;2.0;35.79999923706055;4.0;73.80000305175781;4.0
CENTRE NORD;BAM;ZIMTENGA;-21;27;76;0;81;103;25;100;100;4.0;1.899999976158142;8.0;0.0;13.0;;1.0;25.0;15.0;1.0;2.0;13.0;4.0;18.0;2.0;45.900001525878906;5.0;77.9000015258789;5.0
PLATEAU CENTRAL;OUBRITENGA;ZINIARÉ;3;8;90;100;82;87;26;88;44;8.0;3.5999999046325684;11.0;10.0;13.0;;1.0;15.0;3.0;1.0;2.0;13.0;4.0;29.0;5.0;29.600000381469727;2.0;72.5999984741211;4.0
CENTRE SUD;NAHOURI;ZIOU;2;121;51;0;82;54;8;90;50;8.0;0.8999999761581421;1.0;0.0;13.0;;0.0;16.0;4.0;0.0;1.0;13.0;4.0;1.0;1.0;28.899999618530273;2.0;42.900001525878906;1.0
PLATEAU CENTRAL;OUBRITENGA;ZITENGA;-21;61;76;100;87;82;32;100;60;4.0;1.2999999523162842;8.0;10.0;14.0;;2.0;25.0;6.0;2.0;3.0;14.0;4.0;25.0;4.0;36.29999923706055;4.0;77.30000305175781;5.0
CENTRE EST;BOULGOU;ZOAGA;-7;52;111;100;80;93;15;90;80;7.0;1.399999976158142;14.0;10.0;13.0;;0.0;16.0;10.0;0.0;1.0;13.0;4.0;33.0;5.0;34.400001525878906;3.0;80.4000015258789;5.0
CENTRE EST;BOULGOU;ZONSÉ;-7;47;108;67;73;119;52;100;60;7.0;1.5;13.0;6.699999809265137;11.0;;4.0;25.0;6.0;4.0;4.0;11.0;3.0;29.700000762939453;5.0;39.5;5.0;84.0999984741211;5.0
PLATEAU CENTRAL;GANZOURGOU;ZORGHO;5;0;83;33;92;97;62;90;65;9.0;10.0;9.0;3.299999952316284;16.0;;5.0;16.0;7.0;5.0;5.0;16.0;5.0;21.299999237060547;3.0;42.0;5.0;84.30000305175781;5.0
PLATEAU CENTRAL;GANZOURGOU;ZOUNGOU;1;1;83;33;80;89;20;100;80;8.0;10.0;9.0;3.299999952316284;12.0;;1.0;25.0;10.0;1.0;2.0;12.0;3.0;20.299999237060547;3.0;53.0;5.0;86.30000305175781;5.0
CENTRE NORD;NAMENTENGA;ZÉGUÉDÉGUIN;-11;61;62;0;82;93;21;90;90;6.0;1.2999999523162842;4.0;0.0;13.0;;1.0;16.0;12.0;1.0;2.0;13.0;4.0;13.0;1.0;35.29999923706055;4.0;62.29999923706055;2.0
